Titulo,Link,Fuente
Gobierno aprueba extradición de Jossimar Cabrera a EE.UU. por asesinato de Sheylla Gutiérrez,https://elcomercio.pe/lima/judiciales/sheylla-gutierrez-aprueban-extradicion-de-jossimar-cabrera-a-eeuu-por-asesinato-de-su-expareja-ultimas-noticia/,El Comercio
José Miguel Castro: lo que dicen los informes de necropsia y de la PNP sobre su muerte,https://elcomercio.pe/lima/judiciales/jose-miguel-castro-lo-que-dicen-los-informes-de-necropsia-y-de-la-pnp-sobre-su-muerte-susana-villaran-ultimas-noticia/,El Comercio
La historia de ‘El Diablo’: El brazo armado de Los Pulpos que conecta al crimen con el ministro Santibáñez por audios,https://elcomercio.pe/lima/judiciales/juan-jose-santivanez-quien-es-miguel-marcelo-salirrosas-el-policia-convertido-en-criminal-que-hoy-pone-contra-las-cuerdas-al-ministro-santivanez-tlcnota-noticia/,El Comercio
Asesinato de diplomático indonesio en Lince: encuentran arma usada en crimen,https://elcomercio.pe/lima/judiciales/asesinato-de-diplomatico-indonesio-en-lince-encuentran-arma-usada-en-crimen-zetro-leonardo-purba-ultimas-noticia/,El Comercio
Sheylla Gutiérrez: hermana de fallecida señala que sospechoso de crimen se entregó,https://elcomercio.pe/lima/judiciales/sheylla-gutierrez-hermana-de-fallecida-senala-que-josimar-cabrera-sospechoso-de-asesinato-se-entrego-interpol-ultimas-noticia/,El Comercio
Caso Saweto: Ratifican condena de 28 años de cárcel a acusados del asesinato de cuatro líderes nativos,https://elcomercio.pe/peru/ucayali/caso-saewto-ucayali-ratifican-condena-de-28-anos-de-carcel-a-acusados-del-asesinato-de-cuatro-lideres-nativos-de-tamaya-saweto-ultimas-noticia/,El Comercio
INPE informa muerte del serbio Zoran Jaksic en la Base Naval de Callao,https://elcomercio.pe/lima/inpe-informa-de-muerte-del-serbio-zoran-jaksic-en-la-base-naval-de-callao-recluido-por-trafico-de-drogas-ultimas-noticia/,El Comercio
La fiscalía investiga a 150 policías por narcotráfico: hay casos de agentes de la Dirandro y hasta el operador de un laboratorio,https://elcomercio.pe/lima/policiales/la-fiscalia-antidrogas-investiga-a-150-policias-por-narcotrafico-hay-casos-de-agentes-de-la-dirandro-y-hasta-el-operador-de-un-laboratorio-pnp-trafico-ilicito-de-drogas-vraem-noticia/,El Comercio
Los Olivos: Fiscalía abre investigación por robo a universitario arrojado de puente Yanbal,https://elcomercio.pe/lima/judiciales/fiscalia-abre-investigacion-por-robo-a-universitario-arrojado-de-puente-yanbal-en-los-olivos-ultimas-noticia/,El Comercio
SMP: Dictan 36 meses de prisión preventiva a 12 acusados por secuestro de empresaria,https://elcomercio.pe/lima/judiciales/smp-dictan-36-meses-de-prision-preventiva-a-12-acusados-por-secuestro-de-empresaria-ultimas-noticia/,El Comercio
Wanda del Valle: ¿cuáles son los cargos que enfrenta la ‘Bebecita del Crimen’?,https://elcomercio.pe/lima/judiciales/wanda-del-valle-en-peru-cuales-son-los-cargos-que-enfrenta-la-conocida-bebecita-del-crimen-maldito-cris-ultimas-noticia/,El Comercio
Madres denuncian secuestro y presunta violación sexual de adolescentes que desaparecieron durante Navidad en Carabayllo,https://larepublica.pe/sociedad/2025/12/26/madres-denuncian-secuestro-y-presunta-violacion-sexual-de-adolescentes-que-desaparecieron-durante-navidad-en-carabayllo-802906,La República
Puno: acusan a policía de robar un vehículo en Navidad mientras el dueño dormía,https://larepublica.pe/sociedad/2025/12/26/puno-acusan-a-policia-de-robar-un-vehiculo-en-navidad-mientras-el-dueno-dormia-694070,La República
Cusco: capturan a dos delincuentes y a un fabricante de armas vinculados al Comando Vermelho,https://larepublica.pe/sociedad/2025/12/26/cusco-capturan-a-dos-delincuentes-y-a-un-fabricante-de-armas-vinculados-al-comando-vermelho-476476,La República
La Libertad: Fiscalía libera a policía que habría disparado contra colega en cuarto que alquilaban juntos,https://larepublica.pe/sociedad/2025/12/26/la-libertad-fiscalia-libera-a-policia-que-habria-disparado-contra-colega-en-cuarto-que-alquilaban-juntos-1850888,La República
Fiesta navideña terminó en asesinato: empresario y su guardaespaldas son acribillados frente a su familia en La Victoria,https://larepublica.pe/sociedad/2025/12/26/fiesta-navidena-termino-en-asesinato-empresario-y-su-guardaespaldas-son-acribillados-frente-a-su-familia-en-la-victoria-2540278,La República
APP SaludPol facilita reembolsos y trámites médicos para policías,https://canaln.pe/actualidad/app-saludpol-facilita-reembolsos-y-tramites-medicos-policias-n488397,Canal N
Jorge Montoya critica que se anuncie públicamente el despliegue de policías de civil,https://canaln.pe/actualidad/montoya-critica-que-se-anuncie-publicamente-despliegue-policias-civil-n488378,Canal N
Silvana Robles advierte que uso de policías de civil generó muertes en protestas pasadas,https://canaln.pe/actualidad/silvana-robles-policias-civil-estan-ligados-represion-violenta-n488377,Canal N
Mininter ordena que 50 % de policías opere de civil y Liendo advierte falta de estrategia,https://canaln.pe/actualidad/liendo-critica-medida-mininter-sobre-policias-civil-n488371,Canal N
Operativo en Surco: Policía interviene motos lineales en cumplimiento de medidas de emergencia,https://canaln.pe/actualidad/surco-policia-realiza-operativo-control-motos-lineales-n488146,Canal N
José Jerí declara guerra interna contra el crimen y llama a actuar con contundencia,https://canaln.pe/actualidad/jose-jeri-reaccionaremos-contundencia-ante-crimen-n488679,Canal N
Muere periodista Mitzar Castillejos tras 14 días de agonía después de ser atacado por sicarios en Aguaytía,https://diariocorreo.pe/peru/muere-periodista-mitzar-castillejos-tras-14-dias-de-agonia-despues-de-ser-atacado-por-sicarios-en-aguaytia-noticia/,Diario Correo
Policía abandona comisaría pese a estar intervenida en Piura,https://diariocorreo.pe/edicion/piura/policia-abandona-comisaria-pese-a-estar-intervenida-en-piura-noticia/,Diario Correo
Junín: Conductor ebrio es enviado a prisión por causar muerte de dos personas,https://diariocorreo.pe/edicion/huancayo/junin-dictan-9-meses-de-prision-preventiva-a-conductor-ebrio-que-causo-dos-muertes-noticia/,Diario Correo
Policía recupera vehículo con requisitoria vigente en el distrito de Amarilis,https://diariocorreo.pe/edicion/huanuco/policia-recupera-vehiculo-con-requisitoria-vigente-en-el-distrito-de-amarilis-noticia/,Diario Correo
