Titulo,Link,Fuente
Gobierno aprueba extradición de Jossimar Cabrera a EE.UU. por asesinato de Sheylla Gutiérrez,https://elcomercio.pe/lima/judiciales/sheylla-gutierrez-aprueban-extradicion-de-jossimar-cabrera-a-eeuu-por-asesinato-de-su-expareja-ultimas-noticia/,El Comercio
José Miguel Castro: lo que dicen los informes de necropsia y de la PNP sobre su muerte,https://elcomercio.pe/lima/judiciales/jose-miguel-castro-lo-que-dicen-los-informes-de-necropsia-y-de-la-pnp-sobre-su-muerte-susana-villaran-ultimas-noticia/,El Comercio
La historia de ‘El Diablo’: El brazo armado de Los Pulpos que conecta al crimen con el ministro Santibáñez por audios,https://elcomercio.pe/lima/judiciales/juan-jose-santivanez-quien-es-miguel-marcelo-salirrosas-el-policia-convertido-en-criminal-que-hoy-pone-contra-las-cuerdas-al-ministro-santivanez-tlcnota-noticia/,El Comercio
Asesinato de diplomático indonesio en Lince: encuentran arma usada en crimen,https://elcomercio.pe/lima/judiciales/asesinato-de-diplomatico-indonesio-en-lince-encuentran-arma-usada-en-crimen-zetro-leonardo-purba-ultimas-noticia/,El Comercio
Sheylla Gutiérrez: hermana de fallecida señala que sospechoso de crimen se entregó,https://elcomercio.pe/lima/judiciales/sheylla-gutierrez-hermana-de-fallecida-senala-que-josimar-cabrera-sospechoso-de-asesinato-se-entrego-interpol-ultimas-noticia/,El Comercio
Caso Saweto: Ratifican condena de 28 años de cárcel a acusados del asesinato de cuatro líderes nativos,https://elcomercio.pe/peru/ucayali/caso-saewto-ucayali-ratifican-condena-de-28-anos-de-carcel-a-acusados-del-asesinato-de-cuatro-lideres-nativos-de-tamaya-saweto-ultimas-noticia/,El Comercio
INPE informa muerte del serbio Zoran Jaksic en la Base Naval de Callao,https://elcomercio.pe/lima/inpe-informa-de-muerte-del-serbio-zoran-jaksic-en-la-base-naval-de-callao-recluido-por-trafico-de-drogas-ultimas-noticia/,El Comercio
La fiscalía investiga a 150 policías por narcotráfico: hay casos de agentes de la Dirandro y hasta el operador de un laboratorio,https://elcomercio.pe/lima/policiales/la-fiscalia-antidrogas-investiga-a-150-policias-por-narcotrafico-hay-casos-de-agentes-de-la-dirandro-y-hasta-el-operador-de-un-laboratorio-pnp-trafico-ilicito-de-drogas-vraem-noticia/,El Comercio
Los Olivos: Fiscalía abre investigación por robo a universitario arrojado de puente Yanbal,https://elcomercio.pe/lima/judiciales/fiscalia-abre-investigacion-por-robo-a-universitario-arrojado-de-puente-yanbal-en-los-olivos-ultimas-noticia/,El Comercio
Wanda del Valle: ¿cuáles son los cargos que enfrenta la ‘Bebecita del Crimen’?,https://elcomercio.pe/lima/judiciales/wanda-del-valle-en-peru-cuales-son-los-cargos-que-enfrenta-la-conocida-bebecita-del-crimen-maldito-cris-ultimas-noticia/,El Comercio
